results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,2.6,10,3,4G,macro,1x1,154.0,-115.0,-117.99978290702776,-12.52,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,3.5,50,3,5G,macro,8x8,157.0,-116.0,-121.25924267669222,-20.51,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,3.7,50,3,5G,macro,8x8,157.0,-118.0,-120.99978290702776,-22.51,0.0,0.0,0.0
10_percentile,urban,16800,244.42700996411995,0.004091200887114696,26,500,3,5G,macro,8x8,174.0,-135.0,-137.99978290702776,-49.51,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,0.7,10,3,5G,macro,8x8,142.9,-103.0,-108.99783393824347,-0.58,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,0.8,10,3,4G,macro,1x1,144.9,-106.0,-108.25570701687732,-3.521,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,2.6,10,3,4G,macro,1x1,154.9,-114.0,-118.25924267669222,-11.52,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,3.5,50,3,5G,macro,8x8,156.0,-116.0,-121.99978290702776,-20.51,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,3.7,50,3,5G,macro,8x8,157.9,-117.0,-121.29242982390207,-21.51,0.0,0.0,0.0
10_percentile,urban,17600,268.2600290762677,0.0037277264281354973,26,500,3,5G,macro,8x8,174.9,-134.0,-138.25924267669222,-48.50999999999999,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,0.7,10,3,5G,macro,8x8,142.9,-103.0,-109.25924267669222,-0.53,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,0.8,10,3,4G,macro,1x1,144.0,-105.0,-108.99783393824347,-2.58,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,2.6,10,3,4G,macro,1x1,154.0,-113.0,-118.99978290702776,-10.52,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,3.5,50,3,5G,macro,8x8,156.89999999999998,-115.0,-122.25924267669222,-19.51,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,3.7,50,3,5G,macro,8x8,157.0,-116.0,-122.25570701687732,-20.51,0.0,0.0,0.0
10_percentile,urban,18400,293.2015607052595,0.0034106230457799256,26,500,3,5G,macro,8x8,174.0,-133.0,-138.99978290702776,-47.51,0.0,0.0,0.0
